County,AHEC region
Alamance,Greensboro AHEC
Alexander,Northwest AHEC
Alleghany,Northwest AHEC
Anson,Charlotte AHEC
Ashe,Northwest AHEC
Avery,Northwest AHEC
Beaufort,Eastern AHEC
Bertie,Eastern AHEC
Bladen,Southern Regional AHEC
Brunswick,South East AHEC
Buncombe,Mountain AHEC
Burke,Northwest AHEC
Cabarrus,Charlotte AHEC
Caldwell,Northwest AHEC
Camden,Eastern AHEC
Carteret,Eastern AHEC
Caswell,Greensboro AHEC
Catawba,Northwest AHEC
Chatham,Greensboro AHEC
Cherokee,Mountain AHEC
Chowan,Eastern AHEC
Clay,Mountain AHEC
Cleveland,Charlotte AHEC
Columbus,South East AHEC
Craven,Eastern AHEC
Cumberland,Southern Regional AHEC
Currituck,Eastern AHEC
Dare,Eastern AHEC
Davidson,Northwest AHEC
Davie,Northwest AHEC
Duplin,South East AHEC
Durham,Wake AHEC
Edgecombe,Area L AHEC
Forsyth,Northwest AHEC
Franklin,Wake AHEC
Gaston,Charlotte AHEC
Gates,Eastern AHEC
Graham,Mountain AHEC
Granville,Wake AHEC
Greene,Eastern AHEC
Guilford,Greensboro AHEC
Halifax,Area L AHEC
Harnett,Southern Regional AHEC
Haywood,Mountain AHEC
Henderson,Mountain AHEC
Hertford,Eastern AHEC
Hoke,Southern Regional AHEC
Hyde,Eastern AHEC
Iredell,Northwest AHEC
Jackson,Mountain AHEC
Johnston,Wake AHEC
Jones,Eastern AHEC
Lee,Wake AHEC
Lenoir,Eastern AHEC
Lincoln,Charlotte AHEC
McDowell,Mountain AHEC
Macon,Mountain AHEC
Madison,Mountain AHEC
Martin,Eastern AHEC
Mecklenburg,Charlotte AHEC
Mitchell,Mountain AHEC
Montgomery,Greensboro AHEC
Moore,Southern Regional AHEC
Nash,Area L AHEC
New Hanover,South East AHEC
Northampton,Area L AHEC
Onslow,Eastern AHEC
Orange,Greensboro AHEC
Pamlico,Eastern AHEC
Pasquotank,Eastern AHEC
Pender,South East AHEC
Perquimans,Eastern AHEC
Person,Wake AHEC
Pitt,Eastern AHEC
Polk,Mountain AHEC
Randolph,Greensboro AHEC
Richmond,Southern Regional AHEC
Robeson,Southern Regional AHEC
Rockingham,Greensboro AHEC
Rowan,Northwest AHEC
Rutherford,Mountain AHEC
Sampson,Southern Regional AHEC
Scotland,Southern Regional AHEC
Stanly,Charlotte AHEC
Stokes,Northwest AHEC
Surry,Northwest AHEC
Swain,Mountain AHEC
Transylvania,Mountain AHEC
Tyrrell,Eastern AHEC
Union,Charlotte AHEC
Vance,Wake AHEC
Wake,Wake AHEC
Warren,Wake AHEC
Washington,Eastern AHEC
Watauga,Northwest AHEC
Wayne,Eastern AHEC
Wilkes,Northwest AHEC
Wilson,Area L AHEC
Yadkin,Northwest AHEC
Yancey,Mountain AHEC
