primary_county,credentials,credentials-other,license,volunteer_county
"	Alleghany",,,,Bertie
"	Robeson",NP,,Active,"	Pitt,	Robeson,	Scotland"
"	Guilford",NP,,Active,"Alamance,	Guilford,	Randolph,	Rockingham"
"	Guilford",RN,,Active,"	Guilford"
Alamance,NP,,Active,"	Caswell,	Guilford,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Forsyth",NP,,Active,"	Forsyth,	Stokes,	Yadkin"
"	Wake",RN,,Active,"	Wake"
"	Moore","Other, please specify:","RN, FNP",Active,"	Moore"
"	Wake",RN,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Davie,	Forsyth"
"	Lincoln",RN,,Active,"	Gaston,	Lincoln"
"	Iredell",RN,,Active,"	Cabarrus,	Catawba,	Davie,	Forsyth,	Iredell,	Mecklenburg,	Rowan"
"	Yadkin",RN,,Active,"	Davie,	Surry,	Yadkin"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Davie",RN,,Active,"	Davie,	Forsyth"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Orange,	Wake"
"	Davidson",RN,,Active,"	Davidson,	Davie,	Forsyth,	Rowan"
"	Carteret",RN,,Active,"	Beaufort,	Carteret,	Craven,	Pamlico"
"	Franklin",RN,,Active,"	Durham,	Franklin,	Granville,	Johnston,	Nash,	Vance,	Wake,	Wilson"
"	Durham",Retired,,Active,"	Chatham,	Durham,	Orange"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Wake",RN,,Active,"	Wake"
"	Wake","Other, please specify:",CNS,Active,"	Franklin,	Johnston,	Nash,	Wake"
"	Guilford",RN,,Active,"Alamance,	Forsyth,	Guilford"
"	Burke",RN,,Active,"	Avery,	Burke"
"	Wake",RN,,Active,"	Durham,	Vance,	Wake,	Wilson"
"	Pamlico",RN,,Active,"	Pamlico"
"	Lenoir",NP,,Active,"	Craven,	Jones,	Lenoir,	Pitt,	Wayne"
"	Mecklenburg",RN,,Active,"	Harnett,	Mecklenburg,	Wake"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Wake",NP,,Active,"	Granville,	Johnston,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Chatham,	Durham,	Franklin,	Harnett,	Johnston,	Nash,	Wake,	Wilson"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Catawba",RN,,Active,"	Catawba"
"	Craven",NP,,Active,"	Carteret,	Craven,	Jones,	Pitt"
"	Wake",RN,,Active,"	Orange,	Wake"
"	New Hanover",RN,,Active,"	Brunswick,	Duplin,	Mecklenburg,	New Hanover,	Onslow,	Pender,	Wake"
"	Forsyth",RN,,Active,"	Davidson,	Davie,	Forsyth,	Stokes,	Surry"
"	Transylvania",RN,,Active,"	Buncombe,	Henderson,	Transylvania"
Yancey,RN,,Active,"	Avery,	Mitchell,	Yancey"
"	Union",RN,,Active,"	Mecklenburg,	Stanly,	Union"
"	Transylvania",NP,,Active,"	Henderson,	Jackson,	Transylvania"
"	Wake",,,Active,"	Edgecombe,	Franklin,	Johnston,	Nash,	Wake,	Wilson"
"	Gaston",RN,,Active,"	Cleveland,	Gaston,	Lincoln"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	McDowell,	Madison,	Rutherford"
"	New Hanover",RN,,Active,"	Brunswick,	Columbus,	New Hanover,	Pender"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Durham",NP,,Active,"	Durham,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Johnston",RN,,Active,"	Harnett,	Johnston,	Wake"
"	Durham",NP,,Active,"Alamance,	Durham,	Orange"
"	Mecklenburg",RN,,Active,"	Iredell,	Lincoln,	Mecklenburg"
"	New Hanover",RN,,Active,"	New Hanover,	Pender"
"	New Hanover","Other, please specify:",CNM,Active,"	Brunswick,	New Hanover,	Pender"
"	Wake",,,Active,"	Wake"
"	Hoke",RN,,Active,"	Cumberland,	Hoke,	Moore,	Robeson"
"	Orange",RN,,Active,"	Orange"
"	Transylvania",NP,,Active,"	Transylvania"
"	Gaston",RN,,Active,"	Cleveland,	Gaston,	Lincoln"
"	Cumberland",RN,,Active,"	Cumberland,	Franklin,	Harnett,	Hoke,	Nash,	Pitt,	Robeson,	Vance,	Warren"
"	Mecklenburg",NP,,Active,"	Cabarrus,	Iredell,	Mecklenburg"
"	Wake",RN,,Active,"	Chatham,	Durham,	Wake"
"	Hoke",RN,,Active,"	Cumberland,	Hoke,	Robeson"
"	Chatham",RN,,Active,"Alamance,	Chatham,	Durham,	Orange,	Person,	Wake"
"	Perquimans",RN,,Active,"	Perquimans"
"	Wake",RN,,Active,"	Wake"
"	Wake","Other, please specify:",CRNA,Active,"	Chatham,	Durham,	Johnston,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Cherokee",RN,,Active,"	Cherokee,	Clay"
"	Durham",RN,,Active,"	Durham"
"	Sampson",RN,,Active,"	Bladen,	Cumberland,	Duplin,	Harnett,	Hoke,	Johnston,	Moore,	Pender,	Robeson,	Sampson,	Wayne"
"	Macon",RN,,Active,"	Cherokee,	Clay,	Graham,	Jackson,	Macon,	Swain"
"	Polk","Other, please specify:",Retired RN,Active,"	Buncombe,	Henderson,	Polk,	Rutherford"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Wake",RN,,Active,"	Wake"
"	Johnston",RN,,Active,"	Johnston,	Wake"
"	Buncombe",RN,,Active,"	Buncombe"
"	Wake",,,Active,"	Chatham,	Durham,	Franklin,	Johnston,	Wake"
"	Jackson",RN,,Active,"	Jackson"
"	Guilford",RN,,Active,"	Davidson,	Guilford"
"	Guilford",RN,,Active,"	Guilford"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	New Hanover",NP,,Active,"	Brunswick,	Duplin,	New Hanover,	Pender"
"	Transylvania",RN,,Active,"	Transylvania"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Scotland",RN,,Active,"	Rockingham,	Scotland"
"	Mecklenburg",NP,,Active,"	Cabarrus,	Cleveland,	Gaston,	Lincoln,	Mecklenburg"
"	Carteret",RN,,Active,"	Carteret,	Craven,	Onslow,	Pamlico,	Pitt"
"	Pender",RN,,Active,"	Duplin,	Pender"
"	Craven",Retired,,Active,"	Craven"
