asked_volunteer,volunteer_county,complete_volunteer,completed_county,employed,employed_nursing
Yes,,Yes,"	Robeson",,
No,"	Richmond",,,Yes,Yes – part time
Yes,,No,,No,
Yes,,Yes,"	Person",Yes,Yes – full time
No,"	Mecklenburg",,,No,
No,"	Cabarrus,	Mecklenburg",,,Yes,Yes – full time
No,"	Forsyth,	Guilford",,,Yes,Yes – full time
No,"	Union",,,No,
No,"	Brunswick,	New Hanover,	Onslow,	Pender",,,No,
No,"	Wayne",,,Yes,Yes – full time
No,"	Mecklenburg,	Union",,,Yes,Yes – full time
No,"	Buncombe",,,Yes,Yes – full time
No,"	Guilford",,,No,
Yes,,No,,No,
No,"	Chatham,	Cumberland,	Hoke,	Moore",,,No,
Yes,,Yes,"	Durham,	Guilford",No,
No,"Alexander,	Alleghany,	Ashe,	Buncombe,	Cherokee,	Clay,	Wilkes,	Yadkin",,,Yes,Yes – full time
No,"	Mecklenburg,	Watauga",,,Yes,No
No,"	Mecklenburg",,,No,
No,"	Mecklenburg",,,No,
No,All counties,,,Yes,Yes – full time
Yes,,Yes,"	Cabarrus,	Mecklenburg",Yes,Yes – part time
No,"	Harnett,	Wake",,,No,
No,"	Iredell,	Mecklenburg",,,Yes,Yes – full time
No,"	Cleveland",,,Yes,Yes – full time
Yes,,Yes,"	Davie",No,
No,"	Mecklenburg,	Union",,,Yes,Yes – full time
Yes,,Yes,"	Robeson,	Scotland",Yes,Yes – full time
No,"	Lee",,,No,
No,"	Johnston,	Nash,	Wake",,,No,
No,"	Brunswick,	Columbus,	New Hanover,	Pender",,,No,
No,"	Craven",,,No,
No,"	Carteret,	Craven,	Pamlico,	Pasquotank,	Perquimans",,,Yes,Yes – full time
No,"	Buncombe,	Haywood,	Henderson,	McDowell,	Madison,	Transylvania",,,Yes,Yes – full time
No,"	Forsyth",,,No,
No,"	Cumberland,	Hoke",,,No,
No,"	Wake",,,No,
No,"	Surry",,,Yes,Yes – part time
No,"	Johnston,	Nash,	Wayne,	Wilson",,,Yes,Yes – full time
No,"	Durham,	Johnston,	Wake",,,No,
No,"	Carteret,	Johnston,	Wake",,,Yes,Yes – full time
No,"	Cabarrus,	Gaston,	Lincoln,	Mecklenburg",,,Yes,Yes – full time
No,"	Pitt",,,No,
No,"Alamance,	Orange",,,No,
Yes,,Yes,"	Yadkin",Yes,Yes – full time
Yes,,Yes,"	Johnston",Yes,Yes – full time
Yes,,Yes,"	Chatham,	Orange",Yes,No
No,"	Johnston",,,Yes,Yes – full time
No,"	Mecklenburg",,,No,
Yes,,Yes,"	Buncombe",No,
No,"	Buncombe,	Franklin,	Henderson,	McDowell,	Madison",,,Yes,Yes – full time
No,"	Chatham,	Orange",,,Yes,No
No,"	Hoke,	Lee,	Moore,	Richmond,	Scotland",,,Yes,Yes – full time
No,"	Buncombe,	Chatham,	Orange",,,No,
No,"	Buncombe,	Henderson,	Transylvania",,,Yes,Yes – part time
